Name,type,District,person name,designation,Contact details
Carteret,Borough,District-19,Daniel j. reiman,Mayor,732-541-3801
Carteret,Borough,District-19,Susan naples,Council,732-541-3800
Carteret,Borough,District-19,Vincent bellino,Council,732-969-3224
Carteret,Borough,District-19,Jorge diaz,Council president,732-541-3800
Carteret,Borough,District-19,Randy krum,Council,732-541-2346
Carteret,Borough,District-19,Dennis dimascio,Council,732-541-3800
Carteret,Borough,District-19,Ajmarjohal,Council,
